No;Branch_Code;Original_Name;Name;Generation;Height;Weight;Type1;Type2;Ability1;Ability2;Ability_Hidden;Color;Gender_Male;Gender_Female;Gender_Unknown;Egg_Steps;Egg_Group1;Egg_Group2;Get_Rate;Base_Experience;Experience_Type;Category;Mechanic;Region_Form;HP;Attack;Defense;SP_Attack;SP_Defense;Speed;Total;E_HP;E_Attack;E_Defense;E_SP_Attack;E_SP_Defense;E_Speed;Set;Card_Number;Have
16;16_0;Pidgey;Pidgey;1;0.3;1.8;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;Brown;50;50;0;15;Flying;;255;50;1059860;Ordinary;;;40;45;40;35;35;56;251;0;0;0;0;0;1;Base Set;57;
17;17_0;Pidgeotto;Pidgeotto;1;1.1;30;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;Brown;50;50;0;15;Flying;;120;122;1059860;Ordinary;;;63;60;55;50;50;71;349;0;0;0;0;0;2;Base Set;22;
18;18_0;Pidgeot;Pidgeot;1;1.5;39.5;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;Brown;50;50;0;15;Flying;;45;240;1059860;Ordinary;;;83;80;75;70;70;101;479;0;0;0;0;0;3;Jungle;24;x
18;18_1;Pidgeot;Mega Pidgeot;1;2.2;50.5;Normal;Flying;No Guard;;;Brown;50;50;0;15;Flying;;45;261;1059860;Ordinary;Mega;;83;80;80;135;80;121;579;0;0;0;0;0;3;XY Evolutions;65;x
19;19_0;Rattata;Rattata;1;0.3;3.5;Normal;;Run Away;Guts;Hustle;Purple;50;50;0;15;Ground;;255;51;1000000;Ordinary;;;30;56;35;25;35;72;253;0;0;0;0;0;1;Base Set;61;
19;19_1;Rattata;Alolan Rattata;7;0.3;3.8;Dark;Normal;Gluttony;Hustle;Thick Fat;Black;50;50;0;15;Ground;;255;51;1000000;Ordinary;;Alolan;30;56;35;25;35;72;253;0;0;0;0;0;1;SM Burning Shadows;81;x
20;20_0;Raticate;Raticate;1;0.7;18.5;Normal;;Run Away;Guts;Hustle;Brown;50;50;0;15;Ground;;127;145;1000000;Ordinary;;;55;81;60;50;70;97;413;0;0;0;0;0;2;Base Set;40;
20;20_1;Raticate;Alolan Raticate;7;0.7;25.5;Dark;Normal;Gluttony;Hustle;Thick Fat;Black;50;50;0;15;Ground;;127;145;1000000;Ordinary;;Alolan;75;71;70;40;80;77;413;0;0;0;0;0;2;SM Burning Shadows;82;x
21;21_0;Spearow;Spearow;1;0.3;2;Normal;Flying;Keen Eye;;Sniper;Brown;50;50;0;15;Flying;;255;52;1000000;Ordinary;;;40;60;30;31;31;70;262;0;0;0;0;0;1;Jungle;62;x
22;22_0;Fearow;Fearow;1;1.2;38;Normal;Flying;Keen Eye;;Sniper;Brown;50;50;0;15;Flying;;90;155;1000000;Ordinary;;;65;90;65;61;61;100;442;0;0;0;0;0;2;Jungle;36;x
23;23_0;Ekans;Ekans;1;2;6.9;Poison;;Intimidate;Shed Skin;Unnerve;Purple;50;50;0;20;Ground;Dragon;255;58;1000000;Ordinary;;;35;60;44;40;54;55;288;0;1;0;0;0;0;Fossil;46;x
24;24_0;Arbok;Arbok;1;3.5;65;Poison;;Intimidate;Shed Skin;Unnerve;Purple;50;50;0;20;Ground;Dragon;90;157;1000000;Ordinary;;;60;95;69;65;79;80;448;0;2;0;0;0;0;Fossil;31;x
25;25_0;Pikachu;Pikachu;1;0.4;6;Electric;;Static;;Lightning Rod;Yellow;50;50;0;10;Ground;Fairy;190;112;1000000;Ordinary;;;35;55;40;50;50;90;320;0;0;0;0;0;2;Base Set;58;x
25;25_1;Pikachu;Gigamax Pikachu;1;;;;;;;;;;;;;;;;;;;Gigamax;;;;;;;;;;;;;;;SWSH Black Star Promos;SWSH286;x
26;26_0;Raichu;Raichu;1;0.8;30;Electric;;Static;;Lightning Rod;Yellow;50;50;0;10;Ground;Fairy;75;243;1000000;Ordinary;;;60;90;55;90;80;110;485;0;0;0;0;0;3;XY Evolutions;36;x
26;26_1;Raichu;Alolan Raichu;7;0.7;21;Electric;Psychic;Surge Surfer;;;Brown;50;50;0;10;Ground;Fairy;75;243;1000000;Ordinary;;Alolan;60;85;50;95;85;110;485;0;0;0;0;0;3;SM Crimson Invasion;31;x
26;26_2;Raichu;Mega Raichu X;1;1,2;38;Electric;;Electric Surge;;;Yellow;50;50;0;10;Field;Fairy;75;218;1000000;Ordinary;Mega;;60;135;95;90;95;110;585;0;0;0;0;0;3;;;
26;26_3;Raichu;Mega Raichu Y;1;1;26;Electric;;No Guard;;;Yellow;50;50;0;10;Field;Fairy;75;218;1000000;Ordinary;Mega;;60;100;55;160;80;130;585;0;0;0;0;0;3;;;
27;27_0;Sandshrew;Sandshrew;1;0.6;12;Ground;;Sand Veil;;Sand Rush;Yellow;50;50;0;20;Ground;;255;60;1000000;Ordinary;;;50;75;85;20;30;40;300;0;0;1;0;0;0;Base Set;62;x
27;27_1;Sandshrew;Alolan Sandshrew;7;0.7;40;Ice;Steel;Snow Cloak;;Slush Rush;White;50;50;0;20;Ground;;255;60;1000000;Ordinary;;Alolan;50;75;90;10;35;40;300;0;0;1;0;0;0;SM Guardian Rising;19;x
28;28_0;Sandslash;Sandslash;1;1;29.5;Ground;;Sand Veil;;Sand Rush;Yellow;50;50;0;20;Ground;;90;158;1000000;Ordinary;;;75;100;110;45;55;65;450;0;0;2;0;0;0;Fossil;41;x
28;28_1;Sandslash;Alolan Sandslash;7;1.2;55;Ice;Steel;Snow Cloak;;Slush Rush;Blue;50;50;0;20;Ground;;90;158;1000000;Ordinary;;Alolan;75;100;120;25;65;65;450;0;0;2;0;0;0;SM Guardian Rising;20;x
29;29_0;Nidoran F;Nidoran F;1;0.4;7;Poison;;Poison Point;Rivalry;Hustle;Blue;0;100;0;20;Monster;Ground;235;55;1059860;Ordinary;;;55;47;52;40;40;41;275;1;0;0;0;0;0;Jungle;57;x
30;30_0;Nidorina;Nidorina;1;0.8;20;Poison;;Poison Point;Rivalry;Hustle;Blue;0;100;0;20;Undiscovered;;120;128;1059860;Ordinary;;;70;62;67;55;55;56;365;2;0;0;0;0;0;Jungle;40;x
31;31_0;Nidoqueen;Nidoqueen;1;1.3;60;Poison;Ground;Poison Point;Rivalry;Sheer Force;Blue;0;100;0;20;Undiscovered;;45;253;1059860;Ordinary;;;90;92;87;75;85;76;505;3;0;0;0;0;0;Jungle;23;x
32;32_0;Nidoran M;Nidoran M;1;0.5;9;Poison;;Poison Point;Rivalry;Hustle;Purple;100;0;0;20;Monster;Ground;235;55;1059860;Ordinary;;;46;57;40;40;40;50;273;0;1;0;0;0;0;XY Evolutions;43;x
33;33_0;Nidorino;Nidorino;1;0.9;19.5;Poison;;Poison Point;Rivalry;Hustle;Purple;100;0;0;20;Monster;Ground;120;128;1059860;Ordinary;;;61;72;57;55;55;65;365;0;2;0;0;0;0;XY Evolutions;44;x
34;34_0;Nidoking;Nidoking;1;1.4;62;Poison;Ground;Poison Point;Rivalry;Sheer Force;Purple;100;0;0;20;Monster;Ground;45;253;1059860;Ordinary;;;81;102;77;85;75;85;505;0;3;0;0;0;0;XY Evolutions;45;x
35;35_0;Clefairy;Clefairy;1;0.6;7.5;Fairy;;Cute Charm;Magic Guard;Friend Guard;Pink;25;75;0;10;Fairy;;150;113;800000;Ordinary;;;70;45;48;60;65;35;323;2;0;0;0;0;0;XY Evolutions;63;x
36;36_0;Clefable;Clefable;1;1.3;40;Fairy;;Cute Charm;Magic Guard;Unaware;Pink;25;75;0;10;Fairy;;25;242;800000;Ordinary;;;95;70;73;95;90;60;483;3;0;0;0;0;0;Jungle;17;
36;36_1;Clefable;Mega Clefable;1;1.7;42.3;Fairy;Flying;;;;Pink;25;75;0;10;Fairy;;;;;Ordinary;Mega;;95;80;93;135;110;70;583;3;0;0;0;0;0;;;
37;37_0;Vulpix;Vulpix;1;0.6;9.9;Fire;;Flash Fire;;Drought;Brown;25;75;0;20;Ground;;190;60;1000000;Ordinary;;;38;41;40;50;65;65;299;0;0;0;0;0;1;XY Evolutions;14;x
37;37_1;Vulpix;Alolan Vulpix;7;0.6;9.9;Ice;;Snow Cloak;;Snow Warning;White;25;75;0;20;Ground;;190;60;1000000;Ordinary;;Alolan;38;41;40;50;65;65;299;0;0;0;0;0;1;SM Guardian Rising;21;x
38;38_0;Ninetales;Ninetales;1;1.1;19.9;Fire;;Flash Fire;;Drought;Yellow;25;75;0;20;Ground;;75;177;1000000;Ordinary;;;73;76;75;81;100;100;505;0;0;0;0;1;1;XY Evolutions;15;x
38;38_1;Ninetales;Alolan Ninetales;7;1.1;19.9;Ice;Fairy;Snow Cloak;;Snow Warning;Blue;25;75;0;20;Ground;;75;177;1000000;Ordinary;;Alolan;73;67;75;81;100;109;505;0;0;0;0;0;2;SM Burning Shadows;28;x
39;39_0;Jigglypuff;Jigglypuff;1;0.5;5.5;Normal;Fairy;Cute Charm;Competitive;Friend Guard;Pink;25;75;0;10;Fairy;;170;95;800000;Ordinary;;;115;45;20;45;25;20;270;2;0;0;0;0;0;Jungle;54;x
40;40_0;Wigglytuff;Wigglytuff;1;1;12;Normal;Fairy;Cute Charm;Competitive;Frisk;Pink;25;75;0;10;Fairy;;50;218;800000;Ordinary;;;140;70;45;85;50;45;435;3;0;0;0;0;0;Jungle;32;
41;41_0;Zubat;Zubat;1;0.8;7.5;Poison;Flying;Inner Focus;;Infiltrator;Purple;50;50;0;15;Flying;;255;49;1000000;Ordinary;;;40;45;35;30;40;55;245;0;0;0;0;0;1;Fossil;57;x
42;42_0;Golbat;Golbat;1;1.6;55;Poison;Flying;Inner Focus;;Infiltrator;Purple;50;50;0;15;Flying;;90;159;1000000;Ordinary;;;75;80;70;65;75;90;455;0;0;0;0;0;2;Fossil;34;x
43;43_0;Oddish;Oddish;1;0.5;5.4;Grass;Poison;Chlorophyll;;Run Away;Blue;50;50;0;20;Grass;;255;64;1059860;Ordinary;;;45;50;55;75;65;30;320;0;0;0;1;0;0;Jungle;58;x
44;44_0;Gloom;Gloom;1;0.8;8.6;Grass;Poison;Chlorophyll;;Stench;Blue;50;50;0;20;Grass;;120;138;1059860;Ordinary;;;60;65;70;85;75;40;395;0;0;0;2;0;0;Jungle;37;x
45;45_0;Vileplume;Vileplume;1;1.2;18.6;Grass;Poison;Chlorophyll;;Effect Spore;Red;50;50;0;20;Grass;;45;245;1059860;Ordinary;;;75;80;85;110;90;50;490;0;0;0;3;0;0;Jungle;31;x
46;46_0;Paras;Paras;1;0.3;5.4;Bug;Grass;Effect Spore;Dry Skin;Damp;Red;50;50;0;20;Bug;Grass;190;57;1000000;Ordinary;;;35;70;55;45;55;25;285;0;1;0;0;0;0;Jungle;59;x
47;47_0;Parasect;Parasect;1;1;29.5;Bug;Grass;Effect Spore;Dry Skin;Damp;Red;50;50;0;20;Bug;Grass;75;142;1000000;Ordinary;;;60;95;80;60;80;30;405;0;2;1;0;0;0;Jungle;41;x
48;48_0;Venonat;Venonat;1;1;30;Bug;Poison;Compound Eyes;Tinted Lens;Run Away;Purple;50;50;0;20;Bug;;190;61;1000000;Ordinary;;;60;55;50;40;55;45;305;0;0;0;0;1;0;Jungle;63;x
49;49_0;Venomoth;Venomoth;1;1.5;12.5;Bug;Poison;Shield Dust;Tinted Lens;Wonder Skin;Purple;50;50;0;20;Bug;;75;158;1000000;Ordinary;;;70;65;60;90;75;90;450;0;0;0;1;0;1;Jungle;29;
50;50_0;Diglett;Diglett;1;0.2;0.8;Ground;;Sand Veil;Arena Trap;Sand Force;Brown;50;50;0;20;Ground;;255;53;1000000;Ordinary;;;10;55;25;35;45;95;265;0;0;0;0;0;1;XY Evolutions;55;x
50;50_1;Diglett;Alolan Diglett;7;0.2;1;Ground;Steel;Sand Veil;Tangling Hair;Sand Force;Brown;50;50;0;20;Ground;;255;53;1000000;Ordinary;;Alolan;10;55;30;35;45;90;265;0;0;0;0;0;1;Sun & Moon;86;x
51;51_0;Dugtrio;Dugtrio;1;0.7;33.3;Ground;;Sand Veil;Arena Trap;Sand Force;Brown;50;50;0;20;Ground;;50;149;1000000;Ordinary;;;35;100;50;50;70;120;425;0;0;0;0;0;2;XY Evolutions;56;x
51;51_1;Dugtrio;Alolan Dugtrio;7;0.7;66.6;Ground;Steel;Sand Veil;Tangling Hair;Sand Force;Brown;50;50;0;20;Ground;;50;149;1000000;Ordinary;;Alolan;35;100;60;50;70;110;425;0;2;0;0;0;0;Sun & Moon;87;
52;52_0;Meowth;Meowth;1;0.4;4.2;Normal;;Pickup;Technician;Unnerve;Yellow;50;50;0;20;Ground;;255;58;1000000;Ordinary;;;40;45;35;40;40;90;290;0;0;0;0;0;1;Jungle;56;x
52;52_1;Meowth;Alolan Meowth;7;0.4;4.2;Dark;;Pickup;Technician;Rattled;Blue;50;50;0;20;Ground;;255;58;1000000;Ordinary;;Alolan;40;35;35;50;40;90;290;0;0;0;0;0;1;Sun & Moon;78;
52;52_2;Meowth;Galarian Meowth;8;0.4;7.5;Steel;;Pickup;Tough Claws;Unnerve;Brown;50;50;0;20;Ground;;255;58;1000000;Ordinary;;Galarian;50;65;55;40;40;40;290;0;1;0;0;0;0;Sword & Shield;127;x
52;52_3;Meowth;Gigamax Meowth;1;;;;;;;;;;;;;;;;;;;Gigamax;;;;;;;;;;;;;;;SWSH Black Star Promos;SWSH005;x
53;53_0;Persian;Persian;1;1;32;Normal;;Limber;Technician;Unnerve;Yellow;50;50;0;20;Ground;;90;154;1000000;Ordinary;;;65;70;60;65;65;115;440;0;0;0;0;0;2;Jungle;42;x
53;53_1;Persian;Alolan Persian;7;1.1;33;Dark;;Fur Coat;Technician;Rattled;Blue;50;50;0;20;Ground;;90;154;1000000;Ordinary;;Alolan;65;60;60;75;65;115;440;0;0;0;0;0;2;Sun & Moon;79;
54;54_0;Psyduck;Psyduck;1;0.8;19.6;Water;;Damp;Cloud Nine;Swift Swim;Yellow;50;50;0;20;Water1;Ground;190;64;1000000;Ordinary;;;50;52;48;65;50;55;320;0;0;0;1;0;0;Fossil;53;x
55;55_0;Golduck;Golduck;1;1.7;76.6;Water;;Damp;Cloud Nine;Swift Swim;Blue;50;50;0;20;Water1;Ground;75;175;1000000;Ordinary;;;80;82;78;95;80;85;500;0;0;0;2;0;0;Fossil;35;x
56;56_0;Mankey;Mankey;1;0.5;28;Fighting;;Vital Spirit;Anger Point;Defiant;Brown;50;50;0;20;Ground;;190;61;1000000;Ordinary;;;40;80;35;35;45;70;305;0;1;0;0;0;0;Jungle;55;x
57;57_0;Primeape;Primeape;1;1;32;Fighting;;Vital Spirit;Anger Point;Defiant;Brown;50;50;0;20;Ground;;75;159;1000000;Ordinary;;;65;105;60;60;70;95;455;0;2;0;0;0;0;Jungle;43;x
58;58_0;Growlithe;Growlithe;1;0.7;19;Fire;;Intimidate;Flash Fire;Justified;Brown;75;25;0;20;Ground;;190;70;1250000;Ordinary;;;55;70;45;70;50;60;350;0;1;0;0;0;0;XY Evolutions;17;x
58;58_1;Growlithe;Hisuian Growlithe;8;0.8;22.7;Fire;Rock;Intimidate;Flash Fire;Rock Head;Brown;75;25;0;20;Ground;;190;70;1250000;Ordinary;;Hisuian;60;75;45;65;50;55;350;0;1;0;0;0;0;SWSH Astral Radiance;70;x
59;59_0;Arcanine;Arcanine;1;1.9;155;Fire;;Intimidate;Flash Fire;Justified;Brown;75;25;0;20;Ground;;75;194;1250000;Ordinary;;;90;110;80;100;80;95;555;0;2;0;0;0;0;XY Evolutions;18;x
59;59_1;Arcanine;Hisuian Arcanine;8;2;168;Fire;Rock;Intimidate;Flash Fire;Rock Head;Brown;75;25;0;20;Ground;;75;194;1250000;Ordinary;;Hisuian;95;115;80;95;80;90;555;0;2;0;0;0;0;SWSH Astral Radiance;71;x
60;60_0;Poliwag;Poliwag;1;0.6;12.4;Water;;Water Absorb;Damp;Swift Swim;Blue;50;50;0;20;Water1;;255;60;1059860;Ordinary;;;40;50;40;40;40;90;300;0;0;0;0;0;1;XY Evolutions;23;x
61;61_0;Poliwhirl;Poliwhirl;1;1;20;Water;;Water Absorb;Damp;Swift Swim;Blue;50;50;0;20;Water1;;120;135;1059860;Ordinary;;;65;65;65;50;50;90;385;0;0;0;0;0;2;XY Evolutions;24;x
62;62_0;Poliwrath;Poliwrath;1;1.3;54;Water;Fighting;Water Absorb;Damp;Swift Swim;Blue;50;50;0;20;Water1;;45;255;1059860;Ordinary;;;90;95;95;70;90;70;510;0;0;3;0;0;0;XY Evolutions;25;x
63;63_0;Abra;Abra;1;0.9;19.5;Psychic;;Synchronize;Inner Focus;Magic Guard;Brown;75;25;0;20;Human-Like;;200;62;1059860;Ordinary;;;25;20;15;105;55;90;310;0;0;0;1;0;0;Base Set;43;x
64;64_0;Kadabra;Kadabra;1;1.3;56.5;Psychic;;Synchronize;Inner Focus;Magic Guard;Brown;75;25;0;20;Human-Like;;100;140;1059860;Ordinary;;;40;35;30;120;70;105;400;0;0;0;2;0;0;Base Set;32;x
65;65_0;Alakazam;Alakazam;1;1.5;48;Psychic;;Synchronize;Inner Focus;Magic Guard;Brown;75;25;0;20;Human-Like;;50;250;1059860;Ordinary;;;55;50;45;135;95;120;500;0;0;0;3;0;0;Base Set;1;x
65;65_1;Alakazam;Mega Alakazam;1;1.2;48;Psychic;;Trace;;;Brown;75;25;0;20;Human-Like;;50;270;1059860;Ordinary;Mega;;55;50;65;175;105;150;600;0;0;0;3;0;0;XY Fates Collide;26;
66;66_0;Machop;Machop;1;0.8;19.5;Fighting;;Guts;No Guard;Steadfast;Gray;75;25;0;20;Human-Like;;180;61;1059860;Ordinary;;;70;80;50;35;35;35;305;0;1;0;0;0;0;Base Set;52;x
67;67_0;Machoke;Machoke;1;1.5;70.5;Fighting;;Guts;No Guard;Steadfast;Gray;75;25;0;20;Human-Like;;90;142;1059860;Ordinary;;;80;100;70;50;60;45;405;0;2;0;0;0;0;Base Set;34;x
68;68_0;Machamp;Machamp;1;1.6;130;Fighting;;Guts;No Guard;Steadfast;Gray;75;25;0;20;Human-Like;;45;253;1059860;Ordinary;;;90;130;80;65;85;55;505;0;3;0;0;0;0;Base Set;8;x
68;68_1;Machamp;Gigamax Machamp;1;1.6;130;Fighting;;Guts;No Guard;Steadfast;Gray;75;25;0;20;Human-Like;;45;253;1059860;Ordinary;Gigamax;;90;130;80;65;85;55;505;0;3;0;0;0;0;SWSH Astral Radiance;73;x
69;69_0;Bellsprout;Bellsprout;1;0.7;4;Grass;Poison;Chlorophyll;;Gluttony;Green;50;50;0;20;Grass;;255;60;1059860;Ordinary;;;50;75;35;70;30;40;300;0;1;0;0;0;0;Jungle;49;x
70;70_0;Weepinbell;Weepinbell;1;1;6.4;Grass;Poison;Chlorophyll;;Gluttony;Green;50;50;0;20;Grass;;120;137;1059860;Ordinary;;;65;90;50;85;45;55;390;0;2;0;0;0;0;Jungle;48;x
71;71_0;Victreebel;Victreebel;1;1.7;15.5;Grass;Poison;Chlorophyll;;Gluttony;Green;50;50;0;20;Grass;;45;245;1059860;Ordinary;;;80;105;65;100;70;70;490;0;3;0;0;0;0;Jungle;30;x
71;71_1;Victreebel;Mega Victreebel;1;4.5;125.5;Grass;Poison;;;;Green;50;50;0;20;Grass;;;;1059860;Ordinary;Mega;;80;125;85;135;95;70;590;0;3;0;0;0;0;;;
72;72_0;Tentacool;Tentacool;1;0.9;45.5;Water;Poison;Clear Body;Liquid Ooze;Rain Dish;Blue;50;50;0;20;Water3;;190;67;1250000;Ordinary;;;40;40;35;50;100;70;335;0;0;0;0;1;0;Fossil;56;x
73;73_0;Tentacruel;Tentacruel;1;1.6;55;Water;Poison;Clear Body;Liquid Ooze;Rain Dish;Blue;50;50;0;20;Water3;;60;180;1250000;Ordinary;;;80;70;65;80;120;100;515;0;0;0;0;2;0;Fossil;44;x
74;74_0;Geodude;Geodude;1;0.4;20;Rock;Ground;Rock Head;Sturdy;Sand Veil;Brown;50;50;0;15;Mineral;;255;60;1059860;Ordinary;;;40;80;100;30;30;20;300;0;0;1;0;0;0;Fossil;47;x
74;74_1;Geodude;Alolan Geodude;7;0.4;20.3;Rock;Electric;Magnet Pull;Sturdy;Galvanize;Gray;50;50;0;15;Mineral;;255;60;1059860;Ordinary;;Alolan;40;80;100;30;30;20;300;0;0;1;0;0;0;SM Guardian Rising;40;x
75;75_0;Graveler;Graveler;1;1;105;Rock;Ground;Rock Head;Sturdy;Sand Veil;Brown;50;50;0;15;Mineral;;120;137;1059860;Ordinary;;;55;95;115;45;45;35;390;0;0;2;0;0;0;Fossil;37;x
75;75_1;Graveler;Alolan Graveler;7;1;110;Rock;Electric;Magnet Pull;Sturdy;Galvanize;Gray;50;50;0;15;Mineral;;120;137;1059860;Ordinary;;Alolan;55;95;115;45;45;35;390;0;0;2;0;0;0;SM Guardian Rising;41;x
76;76_0;Golem;Golem;1;1.4;300;Rock;Ground;Rock Head;Sturdy;Sand Veil;Brown;50;50;0;15;Mineral;;45;223;1059860;Ordinary;;;80;120;130;55;65;45;495;0;0;3;0;0;0;Fossil;36;x
76;76_1;Golem;Alolan Golem;7;1.7;316;Rock;Electric;Magnet Pull;Sturdy;Galvanize;Gray;50;50;0;15;Mineral;;45;223;1059860;Ordinary;;Alolan;80;120;130;55;65;45;495;0;0;3;0;0;0;SM Guardian Rising;42;x
